feature_station_21006847_vst_raw,feature_station_21006845_vst_raw,vst_raw,feature_station_21006845_rainfall,temperature,feature_station_21006847_rainfall,rainfall,vst_raw_cleaned,is_anomaly
671.63,2118.09,1139.7,0.2,1.7,1.4,0.3,1139.7,False
667.69,2120.26,1139.55,0.2,1.7,1.4,0.3,1139.55,False
669.08,2119.86,1140.66,0.2,1.7,0.1,0.6,1140.66,False
673.59,2122.29,1139.4,0.2,1.7,0.1,0.6,1139.4,False
671.29,2125.39,1143.65,0.2,1.7,0.1,0.6,1143.65,False
674.8,2126.57,1144.44,0.2,1.7,0.1,0.6,1144.44,False
672.13,2118.17,1143.24,0.3,1.7,0.2,0.6,1143.24,False
669.64,2122.54,1141.86,0.3,1.7,0.2,0.6,1141.86,False
674.72,2121.64,1143.44,0.3,1.7,0.2,0.6,1143.44,False
670.26,2124.28,1141.95,0.3,1.7,0.2,0.6,1141.95,False
672.6,2121.65,1144.12,0.2,1.7,0.2,0.2,1144.12,False
671.12,2125.26,1137.3,0.2,1.7,0.2,0.2,1137.3,False
670.69,2125.18,1145.52,0.2,1.7,0.2,0.2,1145.52,False
670.43,2124.31,1142.83,0.2,1.7,0.2,0.2,1142.83,False
678.1,2122.77,1144.54,0.2,1.7,0.2,0.4,1144.54,False
671.61,2128.51,1145.92,0.2,1.7,0.2,0.4,1145.92,False
673.87,2127.66,1148.66,0.2,1.7,0.2,0.4,1148.66,False
672.64,2123.49,1151.49,0.2,1.7,0.2,0.4,1151.49,False
670.16,2129.14,1146.84,0.1,1.7,0.2,0.3,1146.84,False
671.62,2121.71,1146.14,0.1,1.7,0.2,0.3,1146.14,False
675.69,2133.24,1144.61,0.1,1.7,0.2,0.3,1144.61,False
674.15,2132.13,1148.61,0.1,1.7,0.2,0.3,1148.61,False
677.43,2128.44,1145.91,0.1,1.7,0.4,0.0,1145.91,False
676.13,2131.62,1155.14,0.1,1.7,0.4,0.0,1155.14,False
674.84,2128.68,1146.34,0.1,1.7,0.4,0.0,1146.34,False
675.37,2127.53,1149.5,0.1,1.7,0.4,0.0,1149.5,False
677.67,2135.66,1146.12,0.1,1.7,0.3,0.1,1146.12,False
676.97,2134.3,1144.59,0.1,1.7,0.3,0.1,1144.59,False
675.59,2131.42,1147.95,0.1,1.7,0.3,0.1,1147.95,False
680.68,2129.39,1148.05,0.1,1.7,0.3,0.1,1148.05,False
680.02,2134.05,1143.56,0.0,1.7,0.3,0.0,1143.56,False
684.39,2135.87,1147.69,0.0,1.7,0.3,0.0,1147.69,False
684.94,2138.96,1147.56,0.0,1.7,0.3,0.0,1147.56,False
683.3,2130.12,1149.24,0.0,1.7,0.3,0.0,1149.24,False
685.74,2135.62,1154.3,0.1,1.7,0.4,0.0,1154.3,False
687.56,2129.82,1149.05,0.1,1.7,0.4,0.0,1149.05,False
689.46,2131.28,1142.61,0.1,1.7,0.4,0.0,1142.61,False
690.3,2131.39,1149.38,0.1,1.7,0.4,0.0,1149.38,False
692.04,2138.1,1146.92,0.4,1.7,0.4,0.0,1146.92,False
694.5,2139.56,1146.9,0.4,1.7,0.4,0.0,1146.9,False
696.84,2136.64,1145.71,0.4,1.7,0.4,0.0,1145.71,False
697.37,2134.98,1149.07,0.4,1.7,0.4,0.0,1149.07,False
696.79,2136.84,1151.21,0.5,1.7,0.4,0.0,1151.21,False
700.84,2141.55,1145.35,0.5,1.7,0.4,0.0,1145.35,False
699.06,2137.39,1149.56,0.5,1.7,0.4,0.0,1149.56,False
699.23,2138.27,1145.49,0.5,1.7,0.4,0.0,1145.49,False
697.42,2133.84,1143.31,0.2,1.7,0.3,0.0,1143.31,False
698.96,2143.66,1142.97,0.2,1.7,0.3,0.0,1142.97,False
700.83,2145.01,1145.0,0.2,1.7,0.3,0.0,1145.0,False
701.91,2140.86,1137.59,0.2,1.7,0.3,0.0,1137.59,False
700.94,2138.5,1141.84,0.1,1.7,0.2,0.0,1141.84,False
704.76,2137.41,1141.82,0.1,1.7,0.2,0.0,1141.82,False
701.29,2142.68,1144.53,0.1,1.7,0.2,0.0,1144.53,False
706.39,2143.26,1148.31,0.1,1.7,0.2,0.0,1148.31,False
704.75,2141.4,1144.6,0.0,1.7,0.5,0.0,1144.6,False
705.5,2138.47,1139.97,0.0,1.7,0.5,0.0,1139.97,False
705.19,2148.69,1142.78,0.0,1.7,0.5,0.0,1142.78,False
703.64,2143.98,1143.03,0.0,1.7,0.5,0.0,1143.03,False
704.79,2147.99,1142.28,0.0,1.7,0.2,0.0,1142.28,False
703.54,2146.13,1139.1,0.0,1.7,0.2,0.0,1139.1,False
703.31,2147.61,1139.08,0.0,1.7,0.2,0.0,1139.08,False
703.35,2147.33,1137.92,0.0,1.7,0.2,0.0,1137.92,False
706.93,2145.35,1140.26,0.0,1.7,0.1,0.0,1140.26,False
705.24,2147.28,1139.25,0.0,1.7,0.1,0.0,1139.25,False
702.3,2141.54,1139.21,0.0,1.7,0.1,0.0,1139.21,False
704.8,2142.39,1138.84,0.0,1.7,0.1,0.0,1138.84,False
702.9,2149.35,1131.89,0.0,1.7,0.0,0.0,1131.89,False
705.06,2147.53,1137.27,0.0,1.7,0.0,0.0,1137.27,False
699.93,2146.33,1138.08,0.0,1.7,0.0,0.0,1138.08,False
700.92,2146.87,1137.55,0.0,1.7,0.0,0.0,1137.55,False
703.26,2140.05,1134.04,0.0,1.7,0.0,0.0,1134.04,False
701.03,2149.32,1136.48,0.0,1.7,0.0,0.0,1136.48,False
702.3,2148.36,1135.78,0.0,1.7,0.0,0.0,1135.78,False
699.26,2151.01,1135.97,0.0,1.7,0.0,0.0,1135.97,False
699.88,2151.27,1131.68,0.0,1.7,0.0,0.0,1131.68,False
700.17,2148.1,1134.99,0.0,1.7,0.0,0.0,1134.99,False
